arc_length,\delta = h,\delta = sqrt(2), \delta = 2h,Exact Solution,No Filter
0.360624,0.495217,0.442795,0.396304,0.244169,0.669781
0.362039,0.487737,0.438091,0.39394,0.245138,0.652744
0.363453,0.480258,0.433388,0.391576,0.246106,0.635707
0.364867,0.472778,0.428685,0.389211,0.247075,0.618671
0.366281,0.465298,0.423981,0.386847,0.248044,0.601634
0.367696,0.457819,0.419278,0.384483,0.249013,0.584597
0.36911,0.450339,0.414574,0.382118,0.249982,0.56756
0.370524,0.442859,0.409871,0.379754,0.250951,0.550523
0.371938,0.435379,0.405167,0.377389,0.25192,0.533486
0.373352,0.4279,0.400464,0.375025,0.252889,0.51645
0.374767,0.42042,0.39576,0.372661,0.253858,0.499413
0.376181,0.41294,0.391057,0.370296,0.254826,0.482376
0.377595,0.40546,0.386353,0.367932,0.255795,0.46534
0.379009,0.397981,0.38165,0.365567,0.256764,0.448303
0.380423,0.390501,0.376946,0.363203,0.257733,0.431266
0.381838,0.383021,0.372243,0.360839,0.258702,0.414229
0.383252,0.375542,0.36754,0.358474,0.259671,0.397193
0.384666,0.368062,0.362836,0.35611,0.26064,0.380156
0.38608,0.360582,0.358133,0.353746,0.261609,0.363119
0.387495,0.353102,0.353429,0.351381,0.262578,0.346083
0.388909,0.345623,0.348726,0.349017,0.263547,0.329046
0.390323,0.338143,0.344022,0.346652,0.264515,0.312009
0.391737,0.330663,0.339319,0.344288,0.265484,0.294972
0.393151,0.323183,0.334615,0.341924,0.266453,0.277936
0.394566,0.315704,0.329912,0.339559,0.267422,0.260899
0.39598,0.308224,0.325208,0.337195,0.268391,0.243862
0.397394,0.300744,0.320505,0.334831,0.26936,0.226826
0.398808,0.293264,0.315801,0.332466,0.270329,0.209789
0.400222,0.285785,0.311098,0.330102,0.271298,0.192752
0.401637,0.278305,0.306395,0.327737,0.272267,0.175715
0.403051,0.270825,0.301691,0.325373,0.273235,0.158679
0.404465,0.263345,0.296988,0.323009,0.274204,0.141642
0.405879,0.255866,0.292284,0.320644,0.275173,0.124605
0.407293,0.248386,0.287581,0.31828,0.276142,0.107569
0.408708,0.240906,0.282877,0.315915,0.277111,0.0905316
0.410122,0.233427,0.278174,0.313551,0.27808,0.0734951
0.411536,0.225947,0.27347,0.311187,0.279049,0.0564581
0.41295,0.218467,0.268767,0.308822,0.280018,0.0394216
0.414365,0.210987,0.264063,0.306458,0.280987,0.0223845
0.415779,0.203508,0.25936,0.304094,0.281956,0.00534803
0.417193,0.196028,0.254657,0.301729,0.282924,-0.0116885
0.418607,0.188548,0.249953,0.299365,0.283893,-0.0287255
0.420021,0.181069,0.24525,0.297,0.284862,-0.045762
0.421436,0.173589,0.240546,0.294636,0.285831,-0.062799
0.42285,0.166109,0.235843,0.292272,0.2868,-0.0798355
0.424264,0.158629,0.231139,0.289907,0.287769,-0.0968721
0.425678,0.168526,0.238033,0.294353,0.28874,-0.0759187
0.427092,0.178423,0.244928,0.298799,0.289711,-0.0549653
0.428507,0.18832,0.251822,0.303246,0.290682,-0.0340113
0.429921,0.198216,0.258716,0.307692,0.291653,-0.0130579
0.431335,0.208113,0.26561,0.312138,0.292624,0.0078961
0.432749,0.21801,0.272504,0.316584,0.293595,0.0288495
0.434164,0.227907,0.279399,0.32103,0.294566,0.0498035
0.435578,0.237803,0.286293,0.325476,0.295537,0.0707569
0.436992,0.2477,0.293187,0.329923,0.296508,0.0917103
0.438406,0.257597,0.300081,0.334369,0.297479,0.112664
0.43982,0.267493,0.306975,0.338815,0.29845,0.133618
0.441235,0.27739,0.31387,0.343261,0.299421,0.154572
0.442649,0.287287,0.320764,0.347707,0.300392,0.175525
0.444063,0.297184,0.327658,0.352153,0.301363,0.196479
0.445477,0.307081,0.334552,0.3566,0.302333,0.217433
0.446892,0.316977,0.341447,0.361046,0.303304,0.238387
0.448306,0.326874,0.348341,0.365492,0.304275,0.25934
0.44972,0.336771,0.355235,0.369938,0.305246,0.280293
0.451134,0.346668,0.362129,0.374384,0.306217,0.301247
0.452548,0.356564,0.369023,0.37883,0.307188,0.322201
0.453963,0.366461,0.375918,0.383276,0.308159,0.343155
0.455377,0.376358,0.382812,0.387723,0.30913,0.364108
0.456791,0.386255,0.389706,0.392169,0.310101,0.385062
0.458205,0.396151,0.3966,0.396615,0.311072,0.406016
0.459619,0.406048,0.403494,0.401061,0.312043,0.426969
0.461034,0.415945,0.410389,0.405507,0.313014,0.447923
0.462448,0.425841,0.417283,0.409953,0.313985,0.468876
0.463862,0.435738,0.424177,0.4144,0.314956,0.48983
0.465276,0.445635,0.431071,0.418846,0.315927,0.510784
0.46669,0.455532,0.437966,0.423292,0.316898,0.531738
0.468105,0.465429,0.44486,0.427738,0.317869,0.552691
0.469519,0.475325,0.451754,0.432184,0.31884,0.573645
0.470933,0.485222,0.458648,0.43663,0.319811,0.594599
0.472347,0.495119,0.465542,0.441076,0.320782,0.615552
0.473762,0.505016,0.472437,0.445523,0.321753,0.636506
0.475176,0.514912,0.479331,0.449969,0.322724,0.657459
0.47659,0.524809,0.486225,0.454415,0.323695,0.678413
0.478004,0.534706,0.493119,0.458861,0.324666,0.699367
0.479418,0.544602,0.500013,0.463307,0.325637,0.72032
0.480833,0.554499,0.506908,0.467753,0.326608,0.741274
0.482247,0.564396,0.513802,0.472199,0.327579,0.762228
0.483661,0.574293,0.520696,0.476646,0.32855,0.783182
0.485075,0.584189,0.52759,0.481092,0.329521,0.804135
0.486489,0.594086,0.534485,0.485538,0.330492,0.825089
0.487904,0.603983,0.541379,0.489984,0.331463,0.846042
0.489318,0.61388,0.548273,0.49443,0.332434,0.866996
0.490732,0.623777,0.555167,0.498876,0.333405,0.88795
0.492146,0.633673,0.562061,0.503323,0.334376,0.908903
0.493561,0.64357,0.568956,0.507769,0.335346,0.929857
0.494975,0.653467,0.57585,0.512215,0.336317,0.950811
0.496389,0.645095,0.570677,0.509608,0.33729,0.929806
0.497803,0.636724,0.565504,0.507,0.338263,0.908802
0.499217,0.628353,0.560331,0.504393,0.339235,0.887798
0.500632,0.619982,0.555157,0.501786,0.340208,0.866794
0.502046,0.611611,0.549984,0.499179,0.34118,0.84579
0.50346,0.60324,0.544811,0.496571,0.342153,0.824785
0.504874,0.594869,0.539638,0.493964,0.343126,0.803781
0.506288,0.586498,0.534465,0.491357,0.344098,0.782777
0.507703,0.578126,0.529292,0.48875,0.345071,0.761773
0.509117,0.569755,0.524119,0.486142,0.346043,0.740768
0.510531,0.561384,0.518946,0.483535,0.347016,0.719764
0.511945,0.553013,0.513773,0.480928,0.347989,0.69876
0.51336,0.544642,0.5086,0.478321,0.348961,0.677756
0.514774,0.536271,0.503427,0.475713,0.349934,0.656752
0.516188,0.5279,0.498253,0.473106,0.350906,0.635747
0.517602,0.519528,0.49308,0.470499,0.351879,0.614743
0.519016,0.511157,0.487907,0.467892,0.352852,0.593739
0.520431,0.502786,0.482734,0.465284,0.353824,0.572735
0.521845,0.494415,0.477561,0.462677,0.354797,0.551731
0.523259,0.486044,0.472388,0.46007,0.355769,0.530726
0.524673,0.477673,0.467215,0.457463,0.356742,0.509722
0.526087,0.469302,0.462042,0.454855,0.357715,0.488718
0.527502,0.460931,0.456869,0.452248,0.358687,0.467714
0.528916,0.452559,0.451696,0.449641,0.35966,0.446709
0.53033,0.444188,0.446523,0.447034,0.360632,0.425705
0.531744,0.435817,0.44135,0.444426,0.361605,0.404701
0.533159,0.427446,0.436176,0.441819,0.362578,0.383697
0.534573,0.419075,0.431003,0.439212,0.36355,0.362693
0.535987,0.410704,0.42583,0.436605,0.364523,0.341688
0.537401,0.402333,0.420657,0.433997,0.365495,0.320684
0.538815,0.393961,0.415484,0.43139,0.366468,0.29968
0.54023,0.38559,0.410311,0.428783,0.367441,0.278676
0.541644,0.377219,0.405138,0.426176,0.368413,0.257672
0.543058,0.368848,0.399965,0.423568,0.369386,0.236667
0.544472,0.360477,0.394792,0.420961,0.370358,0.215663
0.545886,0.352106,0.389618,0.418354,0.371331,0.194659
0.547301,0.343735,0.384445,0.415747,0.372304,0.173655
0.548715,0.335363,0.379272,0.413139,0.373276,0.15265
0.550129,0.326992,0.374099,0.410532,0.374249,0.131646
0.551543,0.318621,0.368926,0.407925,0.375221,0.110642
0.552958,0.31025,0.363753,0.405318,0.376194,0.0896379
0.554372,0.301879,0.35858,0.40271,0.377167,0.0686339
0.555786,0.293508,0.353407,0.400103,0.378139,0.0476293
0.5572,0.285137,0.348234,0.397496,0.379112,0.0266254
0.558614,0.276765,0.343061,0.394889,0.380084,0.00562083
0.560029,0.268394,0.337888,0.392281,0.381057,-0.0153831
0.561443,0.260023,0.332714,0.389674,0.38203,-0.0363877
0.562857,0.251652,0.327541,0.387067,0.383002,-0.0573916
0.564271,0.243281,0.322368,0.38446,0.383975,-0.0783956
0.565685,0.23491,0.317195,0.381852,0.384947,-0.0993999
0.5671,0.245703,0.324532,0.386519,0.385921,-0.0739266
0.568514,0.256497,0.331869,0.391187,0.386895,-0.0484526
0.569928,0.26729,0.339206,0.395854,0.387869,-0.0229794
0.571342,0.278084,0.346543,0.400521,0.388843,0.0024946
0.572756,0.288878,0.35388,0.405188,0.389817,0.0279678
0.574171,0.299671,0.361217,0.409855,0.390791,0.0534411
0.575585,0.310465,0.368554,0.414522,0.391764,0.0789151
0.576999,0.321258,0.375891,0.419189,0.392738,0.104388
0.578413,0.332052,0.383228,0.423856,0.393712,0.129862
0.579828,0.342846,0.390565,0.428523,0.394686,0.155336
0.581242,0.353639,0.397902,0.43319,0.39566,0.18081
0.582656,0.364433,0.405239,0.437857,0.396634,0.206283
0.58407,0.375226,0.412576,0.442524,0.397608,0.231756
0.585484,0.38602,0.419913,0.447191,0.398582,0.25723
0.586899,0.396813,0.427249,0.451858,0.399555,0.282703
0.588313,0.407607,0.434587,0.456525,0.400529,0.308177
0.589727,0.418401,0.441923,0.461192,0.401503,0.33365
0.591141,0.429194,0.44926,0.46586,0.402477,0.359124
0.592555,0.439988,0.456597,0.470527,0.403451,0.384598
0.59397,0.450781,0.463934,0.475194,0.404425,0.410071
0.595384,0.461575,0.471271,0.479861,0.405399,0.435545
0.596798,0.472369,0.478608,0.484528,0.406373,0.461018
0.598212,0.483162,0.485945,0.489195,0.407346,0.486492
0.599627,0.493956,0.493282,0.493862,0.40832,0.511965
0.601041,0.50475,0.500619,0.498529,0.409294,0.537439
0.602455,0.515543,0.507956,0.503196,0.410268,0.562913
0.603869,0.526336,0.515293,0.507863,0.411242,0.588386
0.605283,0.53713,0.52263,0.51253,0.412216,0.61386
0.606698,0.547924,0.529967,0.517197,0.41319,0.639333
0.608112,0.558717,0.537304,0.521864,0.414164,0.664807
0.609526,0.569511,0.544641,0.526531,0.415137,0.69028
0.61094,0.580305,0.551978,0.531199,0.416111,0.715754
0.612354,0.591098,0.559315,0.535866,0.417085,0.741228
0.613769,0.601892,0.566652,0.540533,0.418059,0.766701
0.615183,0.612685,0.573989,0.5452,0.419033,0.792175
0.616597,0.623479,0.581325,0.549867,0.420007,0.817648
0.618011,0.634273,0.588663,0.554534,0.420981,0.843122
0.619426,0.645066,0.595999,0.559201,0.421955,0.868595
0.62084,0.65586,0.603336,0.563868,0.422928,0.894069
0.622254,0.666653,0.610673,0.568535,0.423902,0.919542
0.623668,0.677447,0.61801,0.573202,0.424876,0.945016
0.625082,0.68824,0.625347,0.577869,0.42585,0.97049
0.626497,0.699034,0.632684,0.582536,0.426824,0.995963
0.627911,0.709828,0.640021,0.587203,0.427798,1.02144
0.629325,0.720621,0.647358,0.59187,0.428772,1.04691
0.630739,0.731415,0.654695,0.596538,0.429746,1.07238
