"a","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.092875,1,0.72973,0.516,0.516,0
0.086785,1,0.73115,0.517,0.517,0
0.080696,1,0.73256,0.518,0.518,0
0.074606,1,0.73398,0.519,0.519,0
0.068517,1,0.73539,0.52,0.52,0
0.065721,1,0.73681,0.521,0.521,0
0.062926,1,0.73822,0.522,0.522,0
0.06013,1,0.73963,0.523,0.523,0
0.057335,1,0.74105,0.524,0.524,0
0.05454,1,0.74246,0.525,0.525,0
0.051744,1,0.74388,0.526,0.526,0
0.048949,1,0.74529,0.527,0.527,0
0.046154,1,0.7467,0.528,0.528,0
0.043358,1,0.74812,0.529,0.529,0
0.040563,1,0.74953,0.53,0.53,0
0.04069,1,0.75095,0.531,0.531,0
0.040817,1,0.75236,0.532,0.532,0
0.040944,1,0.75378,0.533,0.533,0
0.041072,1,0.75519,0.534,0.534,0
0.041199,1,0.7566,0.535,0.535,0
0.041326,1,0.75802,0.536,0.536,0
0.041453,1,0.75943,0.537,0.537,0
0.04158,1,0.76085,0.538,0.538,0
0.041708,1,0.76226,0.539,0.539,0
0.041835,1,0.76368,0.54,0.54,0
0.049256,1,0.76509,0.541,0.541,0
0.056677,1,0.7665,0.542,0.542,0
0.064098,1,0.76792,0.543,0.543,0
0.071519,1,0.76933,0.544,0.544,0
0.07894,1,0.77075,0.545,0.545,0
0.086361,1,0.77216,0.546,0.546,0
0.093782,1,0.77357,0.547,0.547,0
0.1012,1,0.77499,0.548,0.548,0
0.10862,1,0.7764,0.549,0.549,0
0.11605,1,0.77782,0.55,0.55,0
0.11165,1,0.77923,0.551,0.551,0
0.10726,1,0.78065,0.552,0.552,0
0.10287,1,0.78206,0.553,0.553,0
0.098482,1,0.78347,0.554,0.554,0
0.094091,1,0.78489,0.555,0.555,0
0.089701,1,0.7863,0.556,0.556,0
0.08531,1,0.78772,0.557,0.557,0
0.080919,1,0.78913,0.558,0.558,0
0.076528,1,0.79055,0.559,0.559,0
0.072137,1,0.79196,0.56,0.56,0
0.077738,1,0.79337,0.561,0.561,0
0.08334,1,0.79479,0.562,0.562,0
0.088942,1,0.7962,0.563,0.563,0
0.094543,1,0.79762,0.564,0.564,0
0.10014,1,0.79903,0.565,0.565,0
0.10575,1,0.80044,0.566,0.566,0
