"arc_length","f_1578","f_1705","f_1834","f_1978","f_1889","f_1881"
0.287085,0.188259,0.188195,0.188191,0.188186,0.192063,0.188124
0.2885,0.189693,0.189645,0.189642,0.189638,0.193032,0.189588
0.289914,0.191127,0.191094,0.191093,0.19109,0.194,0.191053
0.291328,0.19256,0.192544,0.192544,0.192543,0.194969,0.192518
0.292742,0.193994,0.193994,0.193995,0.193995,0.195937,0.193983
0.294156,0.195428,0.195444,0.195446,0.195447,0.196906,0.195448
0.295571,0.196862,0.196893,0.196897,0.1969,0.197874,0.196913
0.296985,0.198296,0.198343,0.198348,0.198352,0.198842,0.198377
0.298399,0.19973,0.199793,0.199799,0.199804,0.199811,0.199842
0.299813,0.201163,0.201243,0.20125,0.201256,0.200779,0.201307
0.301227,0.202597,0.202692,0.202701,0.202709,0.201748,0.202772
0.302642,0.204031,0.204142,0.204152,0.204161,0.202716,0.204237
0.304056,0.205465,0.205592,0.205604,0.205613,0.203685,0.205701
0.30547,0.206899,0.207042,0.207055,0.207065,0.204653,0.207166
0.306884,0.208332,0.208491,0.208506,0.208518,0.205622,0.208631
0.308299,0.209766,0.209941,0.209957,0.20997,0.20659,0.210096
0.309713,0.2112,0.211391,0.211408,0.211422,0.207559,0.211561
0.311127,0.212634,0.212841,0.212859,0.212875,0.208527,0.213025
0.312541,0.214068,0.214291,0.21431,0.214327,0.209496,0.21449
0.313955,0.215502,0.21574,0.215761,0.215779,0.210464,0.215955
0.31537,0.216935,0.21719,0.217212,0.217231,0.211433,0.21742
0.316784,0.218369,0.21864,0.218663,0.218684,0.212401,0.218885
0.318198,0.219803,0.22009,0.220114,0.220136,0.21337,0.22035
0.319612,0.220211,0.220481,0.220504,0.220524,0.21434,0.22072
0.321026,0.220618,0.220871,0.220894,0.220913,0.21531,0.221091
0.322441,0.221026,0.221262,0.221284,0.221301,0.21628,0.221462
0.323855,0.221434,0.221653,0.221673,0.221689,0.21725,0.221833
0.325269,0.221841,0.222044,0.222063,0.222078,0.218221,0.222204
0.326683,0.222249,0.222435,0.222453,0.222466,0.219191,0.222574
0.328098,0.222656,0.222826,0.222843,0.222855,0.220161,0.222945
0.329512,0.223064,0.223217,0.223232,0.223243,0.221131,0.223316
0.330926,0.223472,0.223608,0.223622,0.223631,0.222101,0.223687
0.33234,0.223879,0.223999,0.224012,0.22402,0.223071,0.224058
0.333754,0.224287,0.224389,0.224402,0.224408,0.224042,0.224429
0.335169,0.224694,0.22478,0.224791,0.224796,0.225012,0.224799
0.336583,0.225102,0.225171,0.225181,0.225185,0.225982,0.22517
0.337997,0.22551,0.225562,0.225571,0.225573,0.226952,0.225541
0.339411,0.225917,0.225953,0.225961,0.225962,0.227922,0.225912
0.340825,0.226325,0.226344,0.22635,0.22635,0.228892,0.226283
0.34224,0.226732,0.226735,0.22674,0.226738,0.229863,0.226653
0.343654,0.22714,0.227126,0.22713,0.227127,0.230833,0.227024
0.345068,0.227548,0.227516,0.22752,0.227515,0.231803,0.227395
0.346482,0.227955,0.227907,0.227909,0.227903,0.232773,0.227766
0.347897,0.228363,0.228298,0.228299,0.228292,0.233743,0.228137
0.349311,0.22877,0.228689,0.228689,0.22868,0.234713,0.228508
0.350725,0.229178,0.22908,0.229079,0.229069,0.235684,0.228878
0.352139,0.229586,0.229471,0.229468,0.229457,0.236654,0.229249
0.353553,0.229993,0.229862,0.229858,0.229845,0.237624,0.22962
0.354968,0.231649,0.231535,0.231532,0.231521,0.238595,0.231321
0.356382,0.233306,0.233207,0.233206,0.233196,0.239567,0.233022
0.357796,0.234962,0.23488,0.234879,0.234871,0.240538,0.234722
0.35921,0.236618,0.236553,0.236553,0.236547,0.24151,0.236423
0.360624,0.238274,0.238226,0.238227,0.238222,0.242481,0.238124
0.362039,0.239931,0.239898,0.239901,0.239897,0.243453,0.239825
0.363453,0.241587,0.241571,0.241574,0.241573,0.244424,0.241526
0.364867,0.243243,0.243244,0.243248,0.243248,0.245396,0.243227
